Div,Date,HomeTeam,FTHG
E0,27/08/2017,Chelsea,2
E0,27/08/2017,Liverpool,4
E0,27/08/2017,Tottenham,1
E0,27/08/2017,West Brom,1
E0,09/09/2017,Arsenal,3
E0,09/09/2017,Brighton,3
E0,09/09/2017,Everton,0
E0,09/09/2017,Leicester,1
E0,09/09/2017,Man City,5
E0,09/09/2017,Southampton,0
E0,09/09/2017,Stoke,2
E0,10/09/2017,Burnley,1
E0,10/09/2017,Swansea,0
E0,11/09/2017,West Ham,2
E0,15/09/2017,Bournemouth,2
E0,16/09/2017,Crystal Palace,0
E0,16/09/2017,Huddersfield,1
E0,16/09/2017,Liverpool,1
E0,16/09/2017,Newcastle,2
E0,16/09/2017,Tottenham,0
E0,16/09/2017,Watford,0
E0,16/09/2017,West Brom,0
E0,17/09/2017,Chelsea,0
E0,17/09/2017,Man United,4
E0,23/09/2017,Burnley,0
E0,23/09/2017,Everton,2
E0,23/09/2017,Leicester,2
E0,23/09/2017,Man City,5
E0,23/09/2017,Southampton,0
E0,23/09/2017,Stoke,0
E0,23/09/2017,Swansea,1
E0,23/09/2017,West Ham,2
E0,24/09/2017,Brighton,1
E0,25/09/2017,Arsenal,2
E0,30/09/2017,Bournemouth,0
E0,30/09/2017,Chelsea,0
E0,30/09/2017,Huddersfield,0
E0,30/09/2017,Man United,4
E0,30/09/2017,Stoke,2
E0,30/09/2017,West Brom,2
E0,30/09/2017,West Ham,1
E0,01/10/2017,Arsenal,2
E0,01/10/2017,Everton,0
E0,01/10/2017,Newcastle,1
E0,14/10/2017,Burnley,1
E0,14/10/2017,Crystal Palace,2
E0,14/10/2017,Liverpool,0
E0,14/10/2017,Man City,7
E0,14/10/2017,Swansea,2
E0,14/10/2017,Tottenham,1
E0,14/10/2017,Watford,2
E0,15/10/2017,Brighton,1
E0,15/10/2017,Southampton,2
E0,16/10/2017,Leicester,1
E0,20/10/2017,West Ham,0
E0,21/10/2017,Chelsea,4
E0,21/10/2017,Huddersfield,2
E0,21/10/2017,Man City,3
E0,21/10/2017,Newcastle,1
E0,21/10/2017,Southampton,1
E0,21/10/2017,Stoke,1
E0,21/10/2017,Swansea,1
E0,22/10/2017,Everton,2
E0,22/10/2017,Tottenham,4
E0,28/10/2017,Arsenal,2
E0,28/10/2017,Bournemouth,0
E0,28/10/2017,Crystal Palace,2
E0,28/10/2017,Liverpool,3
E0,28/10/2017,Man United,1
E0,28/10/2017,Watford,0
E0,28/10/2017,West Brom,2
E0,29/10/2017,Brighton,1
E0,29/10/2017,Leicester,2
E0,30/10/2017,Burnley,1
E0,04/11/2017,Huddersfield,1
E0,04/11/2017,Newcastle,0
E0,04/11/2017,Southampton,0
E0,04/11/2017,Stoke,2
E0,04/11/2017,Swansea,0
E0,04/11/2017,West Ham,1
E0,05/11/2017,Chelsea,1
E0,05/11/2017,Everton,3
E0,05/11/2017,Man City,3
E0,05/11/2017,Tottenham,1
E0,18/11/2017,Arsenal,2
E0,18/11/2017,Bournemouth,4
E0,18/11/2017,Burnley,2
E0,18/11/2017,Crystal Palace,2
E0,18/11/2017,Leicester,0
E0,18/11/2017,Liverpool,3
E0,18/11/2017,Man United,4
E0,18/11/2017,West Brom,0
E0,19/11/2017,Watford,2
E0,20/11/2017,Brighton,2
E0,24/11/2017,West Ham,1
E0,25/11/2017,Crystal Palace,2
E0,25/11/2017,Liverpool,1
E0,25/11/2017,Man United,1
E0,25/11/2017,Newcastle,0
E0,25/11/2017,Swansea,0
E0,25/11/2017,Tottenham,1
E0,26/11/2017,Burnley,0
E0,26/11/2017,Huddersfield,1
E0,26/11/2017,Southampton,4
E0,28/11/2017,Brighton,0
E0,28/11/2017,Leicester,2
E0,28/11/2017,Watford,2
E0,28/11/2017,West Brom,2
E0,29/11/2017,Arsenal,5
E0,29/11/2017,Bournemouth,1
E0,29/11/2017,Chelsea,1
E0,29/11/2017,Everton,4
E0,29/11/2017,Man City,2
E0,29/11/2017,Stoke,0
E0,02/12/2017,Arsenal,1
